Date	Title
2012-04-04 	Seoul shares drop 1.5 pct; high-beta sectors tumble
2012-04-04 	Court picks terms in Apple/Samsung patent case
2012-04-05 	Samsung estimates record Q1 profit; beats most bullish view
2012-04-05 	Taking Note: Is Samsung's phablet the shape of things to come?
2012-04-05 	Samsung estimates record first quarter profit; beats most bullish view
2012-04-05 	Instant View: Samsung estimates record first quarter profit
2012-04-06 	Samsung hits a high Note, posts record quarterly profit
2012-04-06 	US court hears Apple request to pull Samsung devices
2012-04-08 	Samsung awarded two contracts for Qatar's Lusail City
2012-04-09 	Seoul shares rebound on technicals, trading light
2012-04-09 	S.Korea KOSPI slides to 1-mth closing low on U.S data
2012-04-11 	Europe shares snap week-long slide; Nokia plunges
2012-04-11 	Nokia flagship smartphone's materials cost $209-IHS
2012-04-11 	Nokia flagship smartphone's materials cost $209: IHS
2012-04-12 	Investors losing faith that Nokia can stop the rot
2012-04-12 	Seoul shares rise 1 pct, shrug off N.Korea rocket launch
2012-04-12 	Sony shares drop 3 pct after turnaround plan
2012-04-13 	"German court upholds ban on Apple ""push"" email"
2012-04-13 	Seoul shares retake 2,000-point plateau despite N.Korea launch
2012-04-14 	Nokia says fixed flagship smartphone software bug
2012-04-15 	S.Korea won slips on Spain bond woes; bonds up
2012-04-16 	Samsung says to unveil new Galaxy S smartphone on May 3
2012-04-17 	US judge sends Apple, Samsung to settlement talks
2012-04-17 	CORRECTED-US judge sends Apple, Samsung to settlement talks
2012-04-17 	U.S. rejects import duties on refrigerators, steel wheels
2012-04-17 	US rejects import duties on refrigerators, steel wheels
2012-04-18 	Social media is gold for Olympics advertisers
2012-04-19 	Seoul shares edge down in choppy session, caution over Spain auction
2012-04-19 	Asia Fuel Oil-S.Korea's WP buys 60,000 T for May-June
2012-04-19 	RIM's hiring of banker wouldn't signal sale: source
2012-04-22 	Seoul shares fall as wary investors eye FOMC, BOJ meetings
2012-04-22 	TEXT-Fitch: Stabilisation Measures Have Limited Impact on Korean Refiners
2012-04-23 	Seoul shares edge down on Europe, fall cushioned by chart support
2012-04-23 	Seoul shares edge lower in thin trade, FOMC eyed
2012-04-24 	Analysis: As technology shifts, Asian giants wrestle for TV control
2012-04-25 	Arabtec-TAV group nears $3bln Abu Dhabi airport contract
2012-04-25 	SK hynix still reviewing Elpida, posts 3rd quarterly loss
2012-04-25 	Seoul shares inch lower to post a 5-day losing streak
2012-04-25 	Seoul shares erase gains to end flat; blue-chips rise
2012-04-25 	Samsung says new Galaxy phone to use its quad-core processor
2012-04-26 	Samsung says may switch more memory chip lines to logic chips
2012-04-26 	Samsung overtakes Nokia as world's top handset vendor -Strategy Analytics
2012-04-26 	Samsung sees Q2 global handset market growing slightly from Q1
2012-04-26 	Seoul shares open up, Samsung Elec hits record high
2012-04-26 	Samsung overtakes Nokia as world's top handset vendor: Strategy Analytics
2012-04-27 	S.Korea says buys 28,919 T non-glutinous rice
2012-04-27 	Nokia chairman-designate Siilasmaa buys 200,000 shares
2012-04-27 	Seoul shares close up on techs, end two-week losing streak
2012-04-27 	Seoul shares snap two-week skid; Samsung at record closing high
2012-04-28 	South Korea resurrects $5.3 bln Woori stake sale
2012-04-29 	Seoul shares hit one-week high on tech, auto strength
2012-04-29 	Analysis: Even in emerging markets, Nokia's star is fading
2012-04-30 	RIM may lose more ground in smartphone market: analyst
2012-04-30 	Seoul shares hit 1-wk closing high on automakers, shipyards
2012-04-30 	Samsung moves on from Japan to nibble at Apple
2012-05-02 	Taiwan banks seek court nod on ProMos asset sale
2012-05-02 	S.Korea shares drift lower as U.S jobs data pressures
2012-05-03 	Amazon's Kindle Fire shipments slump in Q1: IDC
2012-05-03 	Amazon's Kindle Fire shipments slump in Q1-IDC
2012-05-03 	Samsung unwraps latest Galaxy rival to iPhone
2012-05-04 	Seoul shares edge lower on U.S. data, but snap 2-week slide
2012-05-04 	SK hynix drops bid for Japan's Elpida, shares jump
2012-05-07 	Seoul shares rebound from 3-month trough, techs lead
2012-05-07 	Seoul shares climb out of 3-month trough on technical support
2012-05-07 	Seoul shares hit 3-mth closing low; shipbuilders tumble
2012-05-08 	Seoul shares fall on Greece impasse; shipbuilders tumble
2012-05-08 	Seoul shares seen lower as Greek political turmoil weighs on markets
2012-05-09 	Seoul shares fall to fresh 3-month closing low
2012-05-09 	Seoul shares pull back from 3-1/2 mth low at key chart level
2012-05-09 	Huawei sees consumer devices sales up a third this year
2012-05-10 	TEXT-S&P:Proposed Samsung Mobile merger is credit quality positive
2012-05-10 	Audience shares rise in debut on Apple link
2012-05-10 	CORRECTED-UPDATE 2-Sony sees return to profit, aims to halve TV losses
2012-05-10 	Seoul shares end at 3-1/2 mth low, technical support trims loss
2012-05-10 	Sony sees return to profit, aims to halve TV losses
2012-05-11 	ADR REPORT-Stocks led lower by Asian ADRs after China's weak data
2012-05-16 	Samsung loses $10 billion market value on Apple order report
2012-05-16 	TABLE-Samsung becomes top cellphone maker in Q1
2012-05-16 	REFILE-Samsung Elec extends fall as most Korean shares steady
2012-05-16 	Samsung hammered as Korean stocks fall to 4-month low
2012-05-17 	Samsung gets 9 mln preorders for new Galaxy phone -report
2012-05-17 	Samsung Life says won't bid for ING Asia insurance biz
2012-05-17 	Samsung investors should worry less about Apple
2012-05-17 	Samsung gets 9 million preorders for new Galaxy phone: report
2012-05-17 	Seoul shares halt 6-day skid; Samsung edges down
2012-05-17 	Seoul shares fall sharply to 2012 low on Spanish bank woes
2012-05-17 	Seoul shares fall to lowest level of 2012
2012-05-17 	Seoul shares seen lower as euro zone fears dash risk appetite
2012-05-17 	South Korea may limit exports to Iran on payment concerns: sources
2012-05-17 	U.S. stock index futures signal slight bounce
2012-05-18 	Seoul shares plunge to 2012 closing-low in worst wk in 8-mths
2012-05-20 	Apple, Samsung CEOs set for court talks
2012-05-20 	Samsung's mobile chief says has options to settle war with Apple
2012-05-20 	Seoul shares recover on large-cap rally
2012-05-21 	South Korean shares extend recovery on bargain pickups
2012-05-21 	China mobile subscribers rise 1.1 pct to 1.02 bln in April
2012-05-21 	Seoul shares rebound on blue-chip bargains
2012-05-21 	Seoul shares rise back above 1,800 points
2012-05-22 	Samsung Electronics down 3 percent, leads blue-chip retreat
2012-05-22 	Seoul shares extend gains on blue chip bargain hunting
2012-05-27 	Brazil's Transpetro suspends most EAS ship orders
2012-05-28 	Samsung launches Galaxy S3 to cement smartphone supremacy
2012-05-28 	Analysis: Geography, not economy, counts in China's rebalancing
2012-05-29 	Samsung Galaxy S3 gets head start on rival iPhone
2012-05-29 	REFILE-UPDATE 3-Samsung Galaxy S3 gets head start on rival iPhone
2012-05-29 	Family feud may disrupt Samsung succession plans
2012-05-29 	Samsung boosts Galaxy appeal with Music Hub
2012-05-29 	Technology puts viewers in charge at Games
2012-05-29 	Apple CEO wants to make more products in U.S
2012-05-29 	Olympics-Technology puts viewers in charge at Games
2012-05-30 	Factbox: RIM: What are its businesses really worth?
2012-06-01 	Seoul shares end lower, but log weekly gain
2012-06-03 	Hutchison in talks buy back control of Partner Comm
2012-06-04 	Hutchison nears deal to buy back control of Partner
2012-06-04 	Apple faces delay in seeking U.S. ban of Samsung tablets
2012-06-05 	New Sony CEO earns pay cut as well as promotion
2012-06-06 	Samsung says Galaxy S III U.S. launch to go ahead, despite Apple suit
2012-06-07 	Samsung says to build a new $1.9 bln logic chip line
2012-06-07 	Samsung Elec names components chief Kwon as new CEO
2012-06-07 	Samsung Electronics moves CEO, seen grooming next leader
2012-06-07 	Seoul shares end at 1-wk high on Europe, US policy hopes
2012-06-07 	Lowered outlook, new Apple fight send HTC shares to 2-year low
2012-06-07 	Apple may seek to stop U.S. launch of Galaxy phone
2012-06-08 	Seoul shares fall on concerns over weak global growth
2012-06-08 	Nokia shares jump 6 percent amid buyout rumors
2012-06-11 	Samsung denies interest in Nokia
2012-06-12 	Seoul shares retreat as Spain bailout cheer fades
2012-06-12 	BOC buys stake in UK carbon capture project
2012-06-13 	Asia Fuel Oil-S.Korea WP buys 30,000 T for July
2012-06-14 	Seoul shares fall as Samsung Electronics, blue chips weigh
2012-06-14 	Nokia cuts 10,000 more jobs as losses deepen
2012-06-14 	Panasonic plans new appliance factory in Europe
2012-06-14 	TAKE-A-LOOK-Troubles mount at Nokia
2012-06-15 	Seoul shares fall ahead of Greek vote, Samsung Elec weighs
2012-06-15 	Samsung LCD lines hit by brief power outage
2012-06-18 	Microsoft announces Surface tablet
2012-06-20 	Seoul shares seen slightly down as Fed disappoints
2012-06-20 	S.Korea stocks retreat as Fed holds back on Q3
2012-06-20 	Nuance combines keyboard, voice for Android
2012-06-20 	Renesas shareholders agree to $633 million support: sources
2012-06-21 	South Korean shares fall on weak China manufacturing data
2012-06-21 	Samsung Engineering says wins $2.5 billion UAE deal
2012-06-22 	Samsung probes burnt out Galaxy phone in Ireland
2012-06-22 	Taiwan chip designer Mediatek offers to buy rival Mstar
2012-06-22 	S.Korean shares fall on euro zone doubts, weak U.S. data
2012-06-22 	South Korean shares fall on sour global growth outlook
2012-06-24 	Seoul shares hit 3-week intraday low as Samsung slips
2012-06-24 	Samsung expects Galaxy S III sales to top 10 mln during July
2012-06-24 	Samsung expects Q2 handset earnings to beat Q1
2012-06-25 	Samsung Engineering wins $2.1 bln Kazakhstan deal
2012-06-25 	Samsung sees higher Q2 handset earnings; U.S. supply crunch to ease
2012-06-25 	Samsung expects Galaxy S III sales to top 10 million during July
2012-06-25 	Seoul shares hit 3-week closing low; Samsung Elec slides
2012-06-25 	Seoul shares fall to 3-wk closing low, Samsung Elec weighs
2012-06-26 	S.Korean shares fall a 4th day on pessimism about Europe summit
2012-06-27 	Judge halts U.S. sales of Samsung Galaxy Tab
2012-06-27 	Seoul shares pare losses to end flat on late Samsung rally
2012-06-27 	Seoul shares end flat after rally by Samsung Electronics
2012-06-27 	Microsoft loses EU battle, fine trimmed by 4.3 percent
2012-06-27 	REFILE-US STOCKS-Wall St jumps on data, eyes EU summit
2012-06-28 	Seoul shares edge lower as EU summit hits stalemate
2012-06-28 	Panasonic: OLED TV price won't fall to LCD level soon
2012-06-29 	Apple scores second legal win vs Samsung in a week
2012-06-29 	SK Hynix boosts flash chip capacity to meet rising demand
2012-07-01 	THAILAND PRESS-InTouch may have to up stake-The Nation
2012-07-02 	Judge rejects Samsung's request to allow U.S. tablet sales
2012-07-02 	Seoul shares edge down as Samsung, EU details weigh
2012-07-02 	US STOCKS-Wall St set for flat open; growth concerns weigh
2012-07-02 	U.S. stock index futures signal gains; Amylin eyed
2012-07-03 	South Korea Hi-mart refuses to extend exclusive talks with MBK
2012-07-03 	South Korea's Hi-mart refuses to extend exclusive talks with MBK
2012-07-03 	Seoul shares climb to 2-week high on global stimulus hopes
2012-07-03 	Renesas seeks 5,000 job cuts for $542 mln yearly savings
2012-07-03 	Samsung loses bid to lift ban on U.S. tablet sales
2012-07-03 	U.S. Judge rejects Samsung request to lift stay on Nexus sales
2012-07-04 	U.S. judge rejects Samsung request to lift stay on Nexus sales
2012-07-04 	Apple suffers UK patent defeat to HTC
2012-07-04 	Seoul shares extend gains on hopes of fresh easing steps
2012-07-05 	Seoul shares drift lower, focus turns to U.S. jobs data
2012-07-05 	Seoul shares tick higher, Samsung edges up on record Q2 profit
2012-07-05 	Samsung's Galaxy powers record $5.9 billion profit; euro a worry
2012-07-05 	Galaxy to power record $5.9 bln profit, but Samsung sweats over euro
2012-07-05 	Samsung Elec estimates Q2 profit at record $5.9 bln
2012-07-06 	Samsung loses bid for stay in U.S. fight over tablet
2012-07-06 	Seoul shares weighed down by Samsung Elec; focus on U.S data
2012-07-06 	ADR REPORT-Foreign shares dip as U.S. jobs report disappoint
2012-07-08 	Samsung Elec shares fall 3 pct to 5-month intraday low
2012-07-08 	Japan's biggest banks target Korean conglomerates for growth
2012-07-08 	S.Korean shares fall as US job data fuels growth worries
2012-07-09 	S.Korea shares hit 1-week low as US data stokes growth fears
2012-07-09 	"Samsung wins court case against Apple because it's ""not as cool"""
2012-07-10 	TSMC says evaluating ASML's proposal to co-invest
2012-07-10 	New iPad hits China July 20, well behind other markets
2012-07-10 	INTERVIEW-Olympics-IOC eyes sponsor expansion in Asia by 2016
2012-07-10 	OCZ Technology loss misses estimates, shares down
2012-07-11 	Seoul shares down for 4th day, chipmakers catch U.S.chill
2012-07-12 	Lam Research sees mostly stable demand for chip gear
2012-07-12 	NTT Docomo: expects to hit smartphones sales target
2012-07-15 	Nokia cuts price of flagship smartphone in half
2012-07-17 	Samsung buys chipmaker CSR's handset technology
2012-07-17 	Samsung Elec buys CSR's mobile technology
2012-07-17 	ASML's Q2 results pave way for possible R&D update
2012-07-18 	Judge rejects secrecy bids in Apple vs. Samsung battle
2012-07-18 	Seoul shares end lower as investors turn cautious
2012-07-18 	ASML Q2 profit beats estimates, sees stable H2 sales
2012-07-18 	Congress mulls changes to patent lawsuit forum
2012-07-18 	U.S. Congress mulls changes to patent lawsuit forum
2012-07-18 	Seoul shares rebound on US results, banks down on rate probe
2012-07-19 	"Apple must run ""Samsung did not copy iPad"" ads: report"
2012-07-19 	Apple must run 'Samsung did not copy iPad' ads-report
2012-07-19 	Analysts lift targets on Skyworks, shares rise
2012-07-19 	Nokia's cash reserves hold up despite big loss
2012-07-19 	Blue chips lift S.Korean stocks, but banks fall
2012-07-19 	Seoul shares rebound on blue-chip rally, but financials tumble
2012-07-22 	Seoul shares fall more than 1.5 pct on Spain debt chills
2012-07-22 	HTC sells back half of stake in audio firm Beats
2012-07-22 	HTC sells back part of stake in audio firm Beats
2012-07-23 	Toshiba cuts flash memory output at Yokkaichi by 30 percent
2012-07-23 	Toshiba cuts flash memory output at Yokkaichi by 30 pct
2012-07-23 	Exclusive: Apple, Samsung chiefs disagree on patent values: source
2012-07-23 	Apple vs Samsung patent trial kicks off in Australia
2012-07-24 	Apple estimates $2.525 bln damages in Samsung battle
2012-07-24 	Apple claims $2.5 billion damages in Samsung patent case
2012-07-24 	Seoul shares hit 7-mth low on Spain woes, downbeat U.S. earnings
2012-07-25 	Apple says Samsung patent royalty demands unfair
2012-07-25 	"Apple says Samsung patent royalty demands ""unfair""-filing"
2012-07-25 	Apple blames rare miss on new iPhone anticipation, economy
2012-07-26 	Samsung sold 50.5 million smartphones in second quarter, almost twice what Apple sold: report
2012-07-26 	Samsung sold 50.5 mln smartphones in Q2, almost twice what Apple sold-report
2012-07-26 	Seoul shares seen buoyed by ECB; Samsung meets profit f'cst
2012-07-26 	Samsung Electronics shares jump over 4 percent after second-quarter results
2012-07-26 	Seoul shares gain on ECB hints; Samsung up 2 pct after Q2 results
2012-07-26 	"China's ""millet"" phone maker hits nearly $1 billion in first half sales"
2012-07-26 	"China's ""millet"" phone maker hits nearly $1 bln in H1 sales"
2012-07-27 	Apple, Samsung take patent fight to crucial California trial
2012-07-27 	Seoul shares rally to 2-1/2 week closing high on ECB, techs
2012-07-27 	Silicon Motion shares rise on upbeat quarterly results
2012-07-27 	Apple’s patent victory is a victory for competition
2012-07-27 	Apple buys mobile security firm AuthenTec for $356 million
2012-07-27 	Nokia finalizes Finnish plant closure, repeats cut plans
2012-07-29 	Seoul shares hit 4-week high on ECB, Fed stimulus hopes
2012-07-30 	Apple, Samsung patent trial starts with jury selection
2012-07-30 	U.S. sets duties on washers from Mexico, South Korea
2012-07-30 	Seoul shares hit 4-week high on hopes of global c.bank action
2012-07-30 	Apple gears up for Sept 12 event, stokes iPhone talk
2012-07-30 	Seoul shares extend gains on ECB, Fed easing hopes
2012-07-30 	U.S. stock futures signal slightly lower Wall St open
2012-07-31 	"Google delays widely-panned ""Nexus Q"" orb gadget"
2012-08-01 	Fujitsu, NEC, Docomo launch smartphone chipmaker
2012-08-02 	South Korea shares fall on Fed inaction, ECB in focus
2012-08-02 	Apple seeks severe punishment for Samsung lawyer's actions
2012-08-03 	Apple's Jobs was open to making smaller iPad: executive
2012-08-03 	Apple exec urged firm to make 7-inch tablet in 2011 -email
2012-08-03 	Smartphone maker HTC sees  third-quarter revenue drop, only China to grow
2012-08-03 	Apple's Jobs was open to making a smaller iPad: executive
2012-08-05 	Samsung Electronics shares rise more than 4 pct
